jl-magelang-masuk,jl-magelang-keluar,jl-kyaimojo-masuk,jl-diponegoro-masuk,jl-diponegoro-keluar,jl-tentarapelajar-masuk,jl-tentarapelajar-keluar,jl-kyaimojo-keluar,persimpangan,time
7.96875,0.0,8.5,0.0,0.71875,0.0,0.0,0.0,13.0,2023-08-15-1:21
1.0357142857142858,2.1321428571428567,16.571428571428573,0.0,3.5535714285714284,0.0,0.0,3.5535714285714284,22.6,2023-08-15-1:22
6.724137931034483,2.1310344827586203,24.310344827586206,0.0,4.262068965517241,8.793103448275861,0.0,15.62758620689655,23.400000000000002,2023-08-15-1:23
9.321428571428571,3.5535714285714284,21.232142857142858,0.0,0.0,0.0,0.0,19.9,22.6,2023-08-15-1:24
8.285714285714286,7.107142857142857,13.982142857142858,0.0,0.0,0.0,0.0,21.321428571428573,22.6,2023-08-15-1:25
2.586206896551724,7.813793103448275,15.0,0.0,0.0,0.0,0.0,20.599999999999998,18.558620689655175,2023-08-15-1:26
5.696428571428571,19.9,21.232142857142858,0.0,0.0,0.0,0.0,19.9,24.214285714285715,2023-08-15-1:27
1.5535714285714286,6.396428571428571,19.160714285714285,0.0,0.0,0.0,0.0,19.9,22.6,2023-08-15-1:28
6.214285714285714,0.0,19.678571428571427,0.0,0.0,0.0,0.0,19.9,22.6,2023-08-15-1:29
0.0,0.0,17.089285714285715,0.0,0.7107142857142856,0.0,0.0,19.9,22.6,2023-08-15-1:30
0.0,0.0,18.642857142857142,0.0,4.264285714285713,0.0,7.817857142857142,19.9,22.6,2023-08-15-1:31
0.0,0.0,20.17241379310345,0.0,2.8413793103448275,0.0,0.0,20.599999999999998,23.400000000000002,2023-08-15-1:32
0.0,0.0,16.053571428571427,4.660714285714286,0.0,8.285714285714286,0.0,19.9,22.6,2023-08-15-1:33
4.660714285714286,0.0,14.5,0.0,0.0,0.0,0.0,19.9,22.6,2023-08-15-1:34
0.0,0.0,17.089285714285715,8.285714285714286,0.0,0.0,0.0,24.16428571428571,22.6,2023-08-15-1:35
11.89655172413793,0.0,13.96551724137931,0.0,0.0,0.0,0.0,31.2551724137931,23.400000000000002,2023-08-15-1:36
3.625,12.792857142857143,12.428571428571429,0.0,0.0,0.0,0.0,39.8,29.864285714285717,2023-08-15-1:37
0.0,19.9,3.107142857142857,0.0,0.0,0.0,0.0,51.88214285714285,23.40714285714286,2023-08-15-1:38
0.0,24.16428571428571,8.803571428571429,0.0,0.0,0.0,0.0,26.29642857142857,22.6,2023-08-15-1:39
0.0,15.87142857142857,7.5,0.0,0.0,0.0,0.0,7.935714285714285,11.4,2023-08-15-1:40
